Air_Density,Temperature,Humidity,Blade_Length,Power_Output
1.175,6.2,23,66,5549.99
1.265,21.8,86,42,2819.67
1.046,0.1,53.7,72,6375.6
1.179,27.9,97.4,66,7878.34
1.199,29.1,53.4,49,4209.82
1.126,18.9,95.7,30,980.47
1.21,8.5,57.6,53,3737.93
1.123,-9.3,77.7,67,5478.72
1.151,-3.9,43.5,78,7410.2
1.002,-6,63.9,74,5282.73
1.208,-9.5,46,49,2817.45
1.198,26.1,74.2,74,8526.77
1.012,37.8,38.2,49,3480.74
1.11,-9.4,48.6,33,1273.61
1.294,-4.4,70.7,71,6863.09
1.126,33,44.3,72,7255.52
1.151,24.4,42.3,63,4713.53
1.273,10.2,50.4,43,2964.63
1.215,39.6,69.7,43,2520.12
1.175,18.7,46.7,62,4862.71
1.239,23.5,54.8,38,2365.07
1.259,22.7,21.7,69,7181.94
1.137,1.1,76,35,1321.98
1.143,14.4,84.9,68,5682.49
1.116,0.8,86.2,50,3236.49
1.29,15.5,64,35,2052.01
1.209,-8.5,54,79,6282.03
1.025,9.1,34.9,42,2352.22
1.259,8.6,72.5,37,1975.58
1.144,4.6,66.1,70,6257.23
1.021,-6,54.4,44,2002.28
1.165,28.5,69.2,68,8244.14
1.125,11,96.3,49,3347.66
1.263,30.7,30.9,40,3143.04
1.061,31.8,97.2,35,1873.41
1.248,0.7,65.6,41,2432.09
1.167,11.1,86.6,57,4959.46
1.016,26,99.5,33,1465.34
1.292,15,94.3,53,3577.19
1.154,32.8,51.9,65,6489.27
1.087,18.6,56.6,37,1765.2
1.141,21.5,68.5,33,1418.93
1.257,29.4,71,80,9840.22
1.091,-3.9,38.3,70,5096.74
1.058,19.2,95.8,42,2140.1
1.039,-5.7,86.2,32,1080.9
1.089,3,30.4,77,5499.21
1.234,0.6,99.3,77,6974.01
1.141,18.4,99.7,74,8565.08
1.068,32.2,48.3,49,3298.93
1.05,-3.4,87.9,64,3450.07
1.1,28.4,40.9,38,1785.91
1.282,-2.8,32.8,63,5527.48
1.103,-0.5,88.4,66,4818.19
1.296,35.8,64.9,46,3304.32
1.146,-9.5,24.9,69,4885.55
1.054,-0.1,86.6,72,4393.48
1.267,0.8,50.7,50,2690.61
1.138,4.1,33.5,30,973.46
1.213,8.2,62.2,58,4247.53
1.295,-4.8,57.6,68,4695.13
1.015,13.4,84.3,36,1417.66
1.029,10,58.3,72,4960.66
1.216,21.2,73.1,48,3796.81
1.085,33.4,48.3,71,7393.15
1.055,4.9,28.8,56,3169.26
1.012,17.3,23.5,71,5346.71
1.007,8.6,45.6,74,5015.3
1.232,-8,73.5,57,4134.91
1.04,31.1,20.9,33,1387.26
1.14,21.7,39.9,41,2623.79
1.182,-9.9,32.1,64,5233.4
1.129,2.5,57,44,2326.89
1.008,5.4,79.7,74,5109.48
1.235,30.6,64.2,54,4974.93
1.003,28,68.7,43,2309.54
1.229,9.8,95.7,71,7192.31
1.268,-2.1,56.6,74,7576.86
1.13,9.3,85.1,58,4446.26
1.161,30.5,47.5,76,9267.22
1.143,12.6,69.6,65,5704.92
1.117,-4.2,81.5,59,3281.95
1.266,-8.1,86.2,78,7865.18
1.268,6.7,37.8,59,4570.27
1.101,-2.6,40.4,37,1553.26
1.185,27.3,50.2,67,5967.43
1.278,3.9,40,36,1853.5
1.289,33.9,63.2,61,6179.22
1.153,20.9,84.6,32,1262.87
1.136,9.7,32.3,80,6663.62
1.084,20.5,52.6,36,1989.4
1.288,4.8,78.1,36,1403.6
1.043,-2.9,76.3,67,3793.13
1.174,38.2,39.1,32,1386.06
1.085,18.2,72.8,35,1846.87
1.084,-9.6,97.3,39,1767.93
1.121,5.5,70.1,43,2602.44
1.3,-2,46.2,80,8691.36
1.016,2.9,61.2,67,5543.32
1.174,-7.2,47,56,3216.18
1.025,2.3,62.5,74,6755.95
1.046,24.2,87.3,50,2846.63
1.132,31,30.7,47,2907.7
1.153,7.4,53,71,6684.18
1.078,16.1,70.7,64,5998.6
1.095,-7.9,57.2,53,2533.67
1.026,-5.5,82.5,72,5865.99
1.091,17.6,32.9,32,1514.31
1.29,32,90,37,1915.38
1.283,-5.6,98.3,45,2914.74
1.1,10.9,48.8,73,7258.69
1.171,38.5,29.1,77,9832.43
1.273,26.9,99,42,2506.4
1.002,-0.1,48.1,74,5736.97
1.243,4.3,59.4,66,6093.43
1.285,37.4,39.4,44,3322.02
1.027,1,24.4,52,3024.22
1.048,12,30,68,5914.5
1.288,7.8,39,72,7155.14
1.161,14.5,99,61,4093.07
1.004,1.8,83.7,72,4575.97
1.077,23.4,53.6,62,4730.67
1.135,1.7,45.5,72,4809.86
1.208,20.1,31.5,56,3885.79
1.22,7.9,58.8,39,2321.35
1.299,2.6,92.6,41,2601.07
1.086,24.8,99.5,37,1697.97
1.161,38.3,92.1,62,6910.27
1.16,33.5,25.3,67,7565.36
1.122,-5.7,32.6,63,3874.86
1.051,12.7,31.3,43,2196.51
1.293,24.7,32.9,79,10931.64
1.256,18.1,29.9,48,3891.04
1.149,26.3,27.7,72,6171.01
1.181,38.8,48,41,2751.55
1.068,7.1,32.6,77,5924.46
1.163,28.5,31.6,66,6167.02
1.208,-5.3,62,70,4878.02
1.155,33.5,36.3,76,10409.21
1.297,28.9,20.5,47,3732.71
1.183,16,75.7,78,6953.85
1.111,31.1,46.3,35,1858.9
1.232,23.3,79,34,1826.16
1.051,17.6,91.4,80,8622.84
1.115,37.3,94,73,8168.4
1.104,-3.5,34.2,64,4822.12
1.13,39.6,73.8,58,4675.41
1.235,-2.3,26,65,5320.49
1.145,14,57.1,45,3157.48
1.238,1.6,54.1,67,4676.09
1.173,3.6,36.3,56,3428.04
1.103,21.6,82,49,3478.05
1.243,-8.3,93.1,77,5991.01
1.071,37,40.6,53,3559.92
1.067,4,39.9,36,1226.9
1.151,3.6,35.7,43,2298.19
1.078,33.2,75,33,1337.47
1.003,28.2,24.5,46,2206.12
1.194,23.6,25.1,76,8407.92
1.153,-2.7,33.9,72,5982.12
1.134,28.5,63.7,62,4504.98
1.29,8,40.2,53,3154.81
1.171,39.7,99,42,2876.71
1.259,23.6,51.6,53,4051.55
1.042,31.8,57.6,71,7742.65
1.171,26.7,25.2,42,2699.96
1.26,19.7,76.4,55,4944.04
1.175,25.8,83.1,39,2459.52
1.215,19.9,46.7,70,7879.93
1.112,-7.4,78.1,49,2739.24
1.028,7.3,38.2,54,2752.23
1.137,5.8,83.8,64,4993.93
1.118,25.7,63.4,43,2503.07
1.26,18.8,51.8,80,8248.9
1.073,20.5,77.6,71,5397.17
1.29,32.3,69.2,45,3920.06
1.287,16.3,62.6,69,8149.47
1.074,0.9,36.9,45,2163.22
1.104,-9.4,88,38,1186.07
1.269,-2,54.5,53,3723
1.29,-8.5,55.6,71,6012.18
1.133,1.9,36.1,49,2865.32
1.096,21.7,94.5,58,4105.49
1.158,-2.4,64.4,68,4449.93
1.206,-5.9,57,65,4848.51
1.082,38.5,98.2,62,5675.19
1.221,39.8,49.3,45,3731.3
1.015,21.9,22.5,80,8647.17
1.015,-4.6,38.3,66,4584.64
1.116,31.1,79.7,40,2279.16
1.106,17,32.5,78,7252.32
1.095,-0.9,32.5,69,5225.46
1.147,18.8,56.5,71,5666.24
1.096,-8,56.2,44,1867.58
1.058,38.6,56.8,33,1472.4
1.093,31.3,37.5,55,4225.86
1.292,3,33.5,70,5693.33
1.123,10.9,81.5,54,3742.49
1.133,9.8,68.3,51,2990.71
1.173,33.1,45.7,31,1622.24
1.295,7.7,35.8,45,2579
1.072,-7.6,90.2,63,3650.55
1.204,0.7,30.9,78,7362.34
1.215,0.8,66.7,43,2621.17
1.182,37.5,68.8,77,8084.28
1.027,36.2,88.5,56,3878.49
1.203,5,24.5,38,1958.78
1.019,-9.9,44.6,70,4718.66
1.179,15.8,97.3,55,3705.43
1.222,29.9,65.5,42,2747.56
1.063,3.4,53.4,51,3157.48
1.252,12,45.3,50,3979.59
1.009,-1.4,31.9,76,5617.26
1.253,6.4,35,30,1188.93
1.138,27.9,82.3,64,6308.3
1.065,11.4,39.5,75,6505.01
1.04,12.4,37.6,75,6697.03
1.286,29.5,45.5,37,1999.51
1.022,28.1,80.5,79,7716.45
1.06,-0.6,53.6,65,4767.44
1.104,10.8,22.3,67,6438.72
1.186,32.4,61,40,2813.54
1.163,12.8,42.2,32,1493.03
1.038,23.1,56.7,56,3353.28
1.087,5.3,90.7,50,3356.97
1.072,-7,35.7,58,3974.59
1.064,-1.8,47.1,79,5923.23
1.123,10.1,95.6,64,5609.74
1.211,7.7,81.9,75,7718.95
1.065,34.8,41.9,48,3106.11
1.11,17.3,28.5,77,6701.32
1.117,21.4,94.7,73,7198.36
1.293,24.4,31.6,40,2405.59
1.286,16.6,49.2,52,3281.59
1.24,28.5,46.5,69,8303.83
1.072,29.2,29.3,53,4402.47
1.02,7.6,28.1,77,6289.57
1.095,-5.8,42.6,51,2815.43
1.08,39.3,49.5,53,4566.96
1.152,22.1,97.5,35,1461.03
1.233,25.4,62.9,67,7261.49
1.257,27.8,92.7,75,9433.17
1.253,20.6,30.3,78,8436.52
1.108,13.5,39.1,72,7255.94
1.206,39.2,33,35,2201.23
1.094,26.4,50,70,5704.88
1.018,32.3,93.4,44,2661.19
1.21,12,43.5,33,1436.02
1.003,35.2,67.6,79,9094.13
1.123,26.6,93.2,76,8449.51
1.099,27.3,60.2,42,2256.41
1.208,-5.7,62.2,37,1406.53
1.23,20.9,64.2,45,2961.36
1.091,6.8,42.4,60,4625.8
1.243,23.5,53.5,77,10757.06
1.088,18.4,87.8,55,4310.28
1.134,-4.4,52,62,3945.12
1.218,16.5,53.5,67,6484.56
1.208,12.6,29.3,65,5486.54
1.296,28.8,57.1,77,8084.77
1.068,15.1,26.7,40,1798.88
1.199,14.1,41.4,80,7057.11
1.183,26,98.4,72,8450.78
1.275,23.4,92.4,54,5293.85
1.047,39.6,69.7,49,4030.58
1.226,7.6,77,58,4967.73
1.17,24.4,39,79,7629.38
1.082,-1.6,31.5,45,2319.39
1.142,30.2,64.1,37,2291.71
1.1,29.3,91.8,40,2164.83
1.174,26.3,86.6,35,1501.91
1.267,-4,67.1,69,5680.35
1.171,39.4,98.8,61,5751.4
1.19,37.1,39.8,36,2401.42
1.156,8.5,81.3,75,6343.85
1.015,18.9,42.7,65,5673.36
1.07,34.4,98,52,3803.53
1.148,14.7,41.2,76,6863.61
1.093,20,49.2,56,3913.35
1.055,20.2,58.1,55,3230.53
1.151,22.5,45.7,80,10187.11
1.097,18.8,42,45,2271.98
1.077,10.3,57.6,37,1838.38
1.139,17,85.3,58,3681.52
1.04,33.6,81.9,72,5884.79
1.278,33.2,55.5,68,9002.23
1.26,28.6,45,53,4668.36
1.212,10.7,30.5,49,2590
1.032,29.3,89.6,56,4325.33
1.233,9.4,90.9,50,3264.56
1.242,23.2,25.3,36,2059.01
1.23,18.4,79.9,80,10094.54
1.034,5,90.7,50,2864.82
1.193,12.6,78.9,79,9895.27
1.25,31.5,47.2,32,1724.73
1.173,35.6,54.3,72,8073.35
1.194,0.3,44,73,5951.53
1.138,12.8,63.4,77,6652.17
1.159,11.7,91.2,49,3291.02
1.01,14.5,73.7,43,2181.88
1.192,38.8,56.7,71,8689.91
1.024,15.9,88.8,67,6223.73
1.131,31.5,20.1,80,10946.9
1.088,23.2,42,50,3125.44
1.164,-4.6,54.9,40,1498.09
1.04,24.8,67.4,30,1115.86
1.207,22.4,99.6,45,3095.98
1.239,27.9,71.2,41,2425.35
1.049,-6.3,50.5,72,4686.11
1.031,2.1,78,41,1975.34
1.044,28.5,98.7,39,2230.7
1.263,8.5,68.9,40,2363.89
1.158,35.5,48.1,65,6518.23
1.14,15.9,74.6,67,5800.79
1.032,-9.9,57.1,61,2787.16
1.195,24.9,62.9,71,7490.45
1.26,15.7,96.4,58,3965.68
1.248,5.9,54.9,54,3934.95
1.188,-9,45.1,75,4888.31
1.023,-0.1,70.8,51,2735.12
1.034,-1.9,65.5,74,4890.29
1.015,19.1,51.8,45,2835.64
1.077,28.5,44.2,33,1627.83
1.041,1.7,62,78,6367.52
1.078,24.9,33.1,46,2924.5
1.116,35,41.4,70,7256.6
1.283,21.1,88.1,46,3078.17
1.183,28.8,92.7,60,4686.84
1.25,0.2,51.5,37,1900.74
1.213,-6.3,86.7,71,5562.61
1.034,8.3,28.3,80,8147.24
1.221,25.5,37.3,42,2959.06
1.083,24.3,67.7,56,4015.81
1.192,37.8,74.2,69,8435.74
1.102,21.5,40.1,69,6847.28
1.299,10.6,95.2,53,4067.91
1.079,29.9,69.9,61,5665.73
1.084,-2.3,93.7,46,2066.9
1.279,30.7,28.5,58,5402.01
1.007,8.3,66.7,43,1643.46
1.209,-2.3,47.3,59,3607.67
1.218,-1.9,89.3,66,5701.08
1.251,39.2,21.1,66,8435.66
1.292,21.2,81.4,71,8928.24
1.293,-1.3,33.1,55,4600.81
1.02,3.4,91.2,37,1687.25
1.247,8.6,57,45,2686.74
1.194,-7.2,33.8,31,1258.48
1.194,-4.6,85.4,71,5930.09
1.039,28.1,60.3,54,3278.22
1.195,29.3,24.9,40,2760.3
1.295,39.4,22.6,73,9829.18
1.274,-6.6,40.3,41,1911.14
1.132,34.5,77.1,53,4714.27
1.012,5.9,54.7,50,2760.83
1.109,6.4,62.1,47,2953.01
1.248,-3.6,30.9,75,7203.82
1.21,39.3,77.6,42,3263.55
1.138,39,48.9,73,8051.89
1.017,33.2,46.8,77,9039.89
1.128,-5.5,66.5,61,3297.64
1.141,32.1,81.2,46,3541.21
1.279,21.7,21.9,74,10002.54
1.192,-3.6,23.9,32,1063.36
1.093,3.1,27.7,56,4029.63
1.158,24.5,87.7,61,5321.7
1.02,30.2,88.4,53,4455.88
1.292,32.4,71.1,49,4774.48
1.108,17.2,23.7,61,5505.38
1.143,16.7,80.1,49,3299.73
1.107,24.2,89.4,60,5925.18
1.205,28.9,93.2,42,2321.96
1.199,-1.5,84.2,42,1903.35
1.215,27,55.9,36,2296.33
1.08,7.1,56.7,34,1235.97
1.095,9.2,59.8,69,6081.45
1.038,-6.1,57.9,36,1451.35
1.197,19.4,61.1,51,4150.05
1.012,-5.3,26.5,47,2338.98
1.179,35.7,85.2,49,4386.66
1.261,21,20.2,72,7000.65
1.267,39.5,22.5,77,8419.18
1.135,2.3,22.1,42,2298.92
1.138,24,92,68,7089.71
1.023,38.2,99.6,52,4411.62
1.201,4.9,43.8,37,1576.24
1.246,-5.2,30,57,4570.42
1.073,21.7,21.5,39,1680.12
1.126,8.3,92.1,72,5473.92
1.252,3.7,48.6,61,4859.53
1.263,39.7,59.4,49,4610.07
1.073,27.7,50,46,2872.37
1.165,14.3,92.6,80,8735.02
1.058,-7.5,86.6,50,2195.05
1.031,-0.4,91.7,52,2523
1.273,4.9,54.4,51,3923.48
1.246,14.4,37.3,78,7867.27
1.228,14.9,68.2,71,6987.94
1.015,-8.8,36.9,63,4329.11
1.253,37.2,46,70,7488.95
1.131,17.1,95.6,62,5236.64
1.103,-9,89.7,74,6152.47
1.164,25.1,55,42,2585.04
1.027,-6.4,45.7,65,4533.95
1.227,26.1,66.3,59,5616.5
1.175,25.1,81,50,3301.71
1.056,39.2,35.5,33,1557.2
1.056,7.1,92.6,50,3228.32
1.055,-2.8,35,39,1553.19
1.017,-5.4,68.8,59,3662.57
1.176,-6.4,64,65,5226.44
1.252,30.5,46.3,35,2060.55
1.005,25.9,64.9,50,3246.01
1.015,38.8,90.4,65,4864.71
1.172,5.5,46.4,68,5787.25
1.246,30.2,90.8,57,4765.89
1.098,-5.3,25,33,1030.56
1.105,35.2,62.7,49,2952.99
1.179,-7.4,43.4,43,1789.11
1.082,29.4,94.4,60,5443.01
1.008,5.4,23.8,50,3066.43
1.221,-0.9,21.5,37,1611.9
1.188,25.2,84.8,68,6662.47
1.174,34.8,79.2,40,2810.47
1.223,28.2,32.4,59,4501.92
1.203,5.7,95.4,56,4666.36
1.062,7.7,89.9,68,4359.79
1.106,-0.5,39.4,51,2455.67
1.038,31.2,74.8,73,6280.78
1.039,-4.6,54.3,41,1922.81
1.203,35.2,64.9,65,7078.6
1.258,20.1,83.3,63,6187.52
1.289,19.4,70.5,44,3444.9
1.189,31.9,27.5,37,2418.62
1.055,23.4,68.5,36,2020.76
1.032,5.2,34.8,36,1581.02
1.244,7.5,55.7,76,8069.57
1.174,-1.3,51.4,43,1764.79
1.185,13.2,26.7,58,3976.14
1.234,-4.5,27.9,44,2453.17
1.211,22.7,83,49,3696.8
1.25,-1.5,66.1,40,1699.37
1.017,33.2,97.9,75,7155.47
1.224,25,96.1,41,3025.88
1.255,34.6,35.3,78,11086.88
1.086,-5.6,88.4,51,2367.55
1.192,29.9,46.1,66,7441.35
1.094,34,33.8,53,3423.85
1.287,-7.8,56.1,34,1551.57
1.01,40,42.8,56,5234.54
1.174,5,60.7,59,4528.65
1.05,0.6,71.8,41,1543.41
1.214,10.7,44.3,32,1119.9
1.053,-9.6,63.5,46,2102.01
1.071,34.3,70.1,80,7799.2
1.148,3.4,69.3,70,6896.25
1.274,16.1,94,51,3963.34
1.064,21.2,71.9,61,4649.9
1.043,29.6,46.6,41,1823.29
1.228,2.5,27.6,49,3273.7
1.15,25.9,58.9,42,2688.43
1.274,-4.1,66.1,64,4899.08
1.044,25.2,64.5,55,4564.04
1.194,36,64,55,4734.44
1.07,-5.7,50,61,3363.8
1.047,-4.2,96.6,73,5692.81
1.205,17.9,69,62,6367.93
1.178,-7.7,37.8,64,5300.44
1.226,-0.6,20.5,61,3634.88
1.093,-0.5,65.6,48,2339.55
1.134,14.1,79.7,34,1479.59
1.122,2.4,28.8,43,2327.46
1.295,13.8,57.3,60,5067.24
1.088,16.1,97.8,62,4945.19
1.088,26.5,59.5,77,7795.06
1.106,37.3,88.3,39,1889.02
1.169,15.2,31.3,31,1283.94
1.076,7.8,56.2,66,5902.24
1.275,2.9,48.3,52,3440.69
1.08,21.7,22.3,58,4555.32
1.269,37.1,61.7,42,2485.18
1.031,28.2,51.9,58,4951.04
1.197,0.3,68.9,57,4588.5
1.272,34.7,63.7,50,5120.87
1.051,26.8,56.3,55,3680.34
1.29,-3.6,28.1,68,5136.37
1.136,25.6,55.4,54,4755.63
1.284,4.5,97.7,66,6891.45
1.203,14.6,41.9,45,3282.98
1.09,5,50.8,56,3000.97
1.056,-5.8,87.3,71,4873.39
1.091,28.4,61.6,53,3401.3
1.028,31.4,20.2,40,2084.67
1.043,1.6,63.2,39,1538.19
1.031,2,89.8,45,2178.85
1.127,11.5,75.2,51,3067.48
1.239,30.6,80.6,32,1589.17
1.042,-6.1,23.1,64,3362.91
1.039,30.4,34.3,63,4631.96
1.193,36.1,66.8,47,4033.71
1.059,18.1,32.2,60,4600.96
1.029,-7,80.3,38,1295.74
1.05,3.5,38.2,55,3551.16
1.277,-4.4,45.4,56,3767.91
1.246,3,23.3,45,3111.76
1.106,30.6,54.1,50,3530.72
1.197,-7.2,40.5,33,1441.39
1.161,4.2,22.7,60,3534.33
1.203,15.8,30.7,39,2215.9
1.205,33.7,51.4,49,3168.27
1.189,2.5,47.4,41,2202.51
1.08,28.9,88.9,57,4743.29
1.012,19.2,44.2,39,1771.6
1.137,23.8,53.2,55,4321.47
1.267,33.1,52.7,71,7471.15
1.171,-8.7,67.9,59,3465.43
1.25,16.5,92.2,34,1530.34
1.297,27.4,74,60,4778.36
1.049,34.2,87.1,79,7675.24
1.208,-3.4,35,77,7418.5
1.202,7.1,87.2,42,1923.66
1.294,-6.1,76,51,3187.88
1.296,31.7,43.6,37,2574.75
1.206,32.9,91.6,38,2597.96
1.073,14.2,73.2,57,4650.75
1.24,-9,57.4,41,1885.04
1.032,-4.9,76.4,36,1278.03
1.234,21.2,20.5,48,3959.19
1.273,39.1,45.9,72,9888.83
1.115,31.9,82.1,76,8930.44
1.189,29.9,88.7,44,2765.42
1.129,10.9,84,54,4284.61
1.131,39.3,78.5,46,3608.51
1.093,31.2,59.8,77,9512.98
1.229,6.8,35.2,31,1177.79
1.281,27.4,28.9,56,4506.86
1.282,11.6,93.9,61,5418.31
1.052,23,36.9,67,6539.9
1.262,38.5,39.6,67,7272.52
1.221,2.3,77.7,63,5820.63
1.076,29.8,80.5,48,3066.03
1.02,19.5,52.7,77,7830.29
1.08,37.5,26,41,2731.15
1.274,-3.3,58.8,37,1833.9
1.19,26,85,30,1364.97
1.216,-8.1,90.6,37,1721.05
1.077,2.3,72,70,5880.75
1.216,6,74.8,79,8876.9
1.008,11.6,21.9,67,5891.46
1.113,38.3,37.1,36,1871.4
1.188,-6.6,79.8,58,4423.4
1.044,-1.6,62.4,73,6393.75
1.247,0.2,67,80,8865.89
1.071,11.2,84.8,60,4373.67
1.196,-7,73.6,69,4248.21
1.122,38.3,53.6,73,9119.5
1.179,18,97.9,40,2599.41
1.032,30.7,39.3,62,5074.01
1.005,28.6,47.2,55,3471.64
1.273,23,73.4,50,4289.66
1.081,35.2,38.6,52,4112.53
1.246,35.1,50.4,62,7761.71
1.3,-3.6,75.3,61,4065.72
1.063,35.1,47,52,3597.72
1.08,16.2,24.6,38,2068.19
1.199,3.4,64.8,32,1350.97
1.29,20.4,81.6,72,9101.06
1.275,4,79.4,56,4478.45
1.151,14,69.7,72,6047.95
1.239,30.8,81.2,60,6076.13
1.041,-8.4,35.9,52,3031.09
1.293,-0.8,78.7,72,7058.18
1.289,37.8,24,67,8438.21
1.049,12.3,79.2,40,2130.28
1.09,5.2,24.1,71,6255.66
1.03,36.2,81.7,30,1417.04
1.082,35.6,90.8,30,1211.37
1.245,-7.8,86.3,39,1763.91
1.113,8.1,47.9,42,2438.3
1.027,35.6,98,45,2980.25
1.103,-1,61.5,38,1469.46
1.294,18.9,50.3,31,1349.66
1.189,6,66.6,47,3079.69
1.125,26.8,44.4,74,8410
1.05,-2.1,34.3,50,2560.17
1.296,19.8,33.1,67,6129.23
1.246,-10,33.6,36,1333.36
1.084,2.6,38.3,32,1312.71
1.021,-1.9,90.9,31,901.65
1.017,0.5,52.4,57,3340.96
1.036,33,20,40,2047.04
1.174,35.7,44.3,70,8699.83
1.279,27.8,99.7,50,3591.18
1.149,19.5,78.9,64,6368.19
1.253,1.5,60.3,68,5766.2
1.134,3.7,30.2,48,2643.62
1.213,5.5,56.4,63,5937.5
1.22,28.9,71.2,42,2489.04
1.052,2.6,93.5,64,4910.63
1.108,38.7,59.4,76,10527.65
1.191,29.8,63.8,40,2926.39
1.021,40,65.4,58,5286.19
1.108,13,96.1,41,1909.68
1.16,19.5,47.1,48,3698.84
1.299,4,88.8,50,3257.19
1.142,20.2,54.5,60,4714.36
1.245,38.7,79.3,62,6347.02
1.13,-8.5,58.6,52,2304.48
1.239,4.5,64.3,41,2051.16
1.179,4.1,46.3,48,3304.91
1.266,39.1,53.2,50,3995.01
1.123,-3.4,62,72,5177.32
1.181,30.6,68.3,73,9125.06
1.189,3.7,49.6,33,1107.6
1.125,33,86.7,61,6290.87
1.043,14.4,77.5,64,5585.19
1.028,2.1,56.1,36,1166.16
1.005,25.5,78.8,80,7217.54
1.262,32.1,20.5,76,10472.59
1.071,13.5,67.5,69,5719.45
1.063,25.7,62,52,3343.66
1.221,-0.9,61.2,76,6700.44
1.096,36.9,68.3,54,4858.99
1.152,-5.2,84.2,80,5933.3
1.049,1.1,23.7,58,3971.07
1.288,4.4,31.9,39,1856.73
1.255,-2.4,20.8,63,5387.16
1.259,10.3,39,36,2126.8
1.122,12.9,98.2,58,5000.77
1.229,15.9,49.9,69,8105.22
1.043,-8,66.1,41,1431.15
1.003,1,99.2,36,1560.15
1.006,30.4,70.2,76,6653.09
1.176,30.5,33.7,69,5988.57
1.137,6.5,84.4,77,6236.88
1.155,13.1,64.2,62,4060.64
1.002,-0.8,99.6,66,3473.37
1.127,31.1,80.4,72,7979.33
1.215,37.8,99.6,79,8544.93
1.133,4.6,91.3,74,5951.64
1.22,29.1,34.6,73,8227.87
1.07,7.6,79.8,68,4732.55
1.244,-9.9,59.8,58,4453.8
1.177,20,30.4,41,2191.31
1.063,10.5,65.4,76,5490.47
1.071,27.9,27.5,57,4275.78
1.188,27.4,81,76,7389.82
1.249,37.3,48.9,54,5700.97
1.125,11.9,84.7,47,2820.12
1.077,14.1,74.6,43,1900.91
1.26,10,90.3,52,3546.24
1.201,4.8,34.9,46,2527.42
1.134,21.9,71.6,77,9075.43
1.146,31.4,89.1,40,2863.53
1.061,-2.1,38.2,53,2695.44
1.188,39.1,82.7,74,8025.34
1.108,24.2,42.8,57,4908
1.299,29,85.2,67,7559.85
1.144,39.9,61.2,55,5299.5
1.146,15.2,73.3,69,5162.76
1.17,-6.4,49.6,57,4265.39
1.275,29.5,86.1,46,3471.79
1.24,33.5,29.9,33,2044.25
1.135,-1.9,35.5,75,5459.16
1.216,-8.8,27.2,65,4042.23
1.176,-3.2,96,39,1633.66
1.148,6.2,57.3,52,2957.52
1.058,36.2,58.2,55,3770.02
1.139,-9.9,44.1,60,3096.28
1.074,30.2,57.6,45,2383.97
1.274,32.7,38.8,67,6572.59
1.101,30.6,96.1,36,1566.25
1.286,-5.9,41.1,39,1880.93
1.16,24,94,63,6504.14
1.189,37.7,59.1,37,2559.31
1.163,-4,55,36,1706.47
1.039,-8.4,84.3,69,4378.19
1.113,33.7,59.6,80,10737.43
1.03,22.2,41.4,32,1397.7
1.187,22.3,54.8,73,9032.4
1.134,38.2,55.2,66,7131.12
1.233,28.5,43.6,76,8033.45
1.066,9.9,53.6,32,1349.92
1.049,11.8,29.6,62,3954.88
1.122,-2.8,95.2,50,2654.85
1.278,5.2,71.2,42,2571.34
1.213,12.3,35.5,77,9319.55
1.126,3.1,83.2,59,3690.47
1.155,35.8,41.3,59,4698.84
1.025,-9.4,67.7,77,5759.9
1.295,19.4,93.2,44,2861.57
1.2,28.6,81.2,66,7112.11
1.086,26.6,29.8,49,3757.62
1.176,22.2,63.7,77,8497.15
1.033,10.5,76.6,72,4925.22
1.29,35.9,36.2,37,2814.78
1.052,6.4,28,49,2465.29
1.194,27.5,31.8,59,6299.46
1.074,36.3,97.1,38,2403.02
1.215,-3.6,87.6,55,3292.34
1.233,37.4,88.6,70,8037.24
1.202,28.8,39.7,35,1575.15
1.184,20.8,64.7,33,1733.92
1.268,8.7,59,40,2038.6
1.024,35.2,86.7,58,4043.41
1.099,-7.8,53.7,57,3703.77
1.074,11.6,63,62,5242.3
1.296,27.8,66.5,41,2636.38
1.117,30.6,49.7,49,3161.97
1.22,0.1,22.7,66,5654.12
1.205,-7.6,59.6,36,1323.6
1.064,30.1,59.5,32,1422.51
1.072,11.1,23.3,55,3808.09
1.084,-2.8,58.9,71,5561.1
1.123,-5.7,60.9,77,6780.08
1.07,22,30.8,47,2728.31
1.006,19.1,31.5,67,5462.84
1.264,32.7,94.9,52,3915.58
1.29,-8.4,35.2,45,2079.86
1.102,33.4,45,70,7433.64
1.102,34.4,43.8,77,8029.09
1.002,12.3,72.6,66,3923.68
1.204,-6.2,71.4,50,3168.8
1.248,37.3,93,42,2608.59
1.044,-6.4,52.2,60,3594.62
1.048,19.5,82.4,65,5171.07
1.237,14.7,50.2,79,7743.89
1.185,31.8,39.2,54,4581.22
1.013,15.1,91.3,77,7451.41
1.187,13.5,58.7,55,3729.61
1.093,34,51.2,78,9736.05
1.111,38.2,92.5,31,1685.82
1.231,17.5,95.2,66,6384.47
1.243,12.7,56.1,59,4033.77
1.12,31.6,21.6,69,5656.68
1.284,31.6,22.6,48,3445.65
1.122,6,68.7,52,3844.39
1.232,18.8,88.2,63,5965.41
1.145,-2.3,90,56,3733.3
1.269,21.8,92.1,67,7366.38
1.272,31.7,84.6,75,8888.51
1.026,-0.6,89.8,68,4027.82
1.281,6.2,87.3,44,2792.21
1.248,12.4,87.2,76,9308.78
